actual,predicted
0.045359045,0.029384177
0.048327323,0.027371421
0.049409147,0.032369357
0.049469702,0.033208203
0.042484544,0.032314457
0.043960426,0.024272121
0.03988863,0.026849557
0.040037073,0.021364685
0.03900578,0.021250777
0.03491017,0.021153696
0.034873605,0.015840184
0.03392088,0.015373632
0.03271313,0.014399033
0.034024846,0.013034731
0.034089725,0.013891604
0.033729218,0.0147345625
0.03622428,0.013871171
0.03474924,0.015994001
0.03761269,0.0144907385
0.03761656,0.019618481
0.04075417,0.01862707
0.061834157,0.059533823
0.060475826,0.06054741
0.06190936,0.05924675
0.05984907,0.05985162
0.058058076,0.05925235
0.057723913,0.05701647
0.05672415,0.056445066
0.05703123,0.056157257
0.05667574,0.056661703
0.05685154,0.054982834
0.05400422,0.055964466
0.05377216,0.053571563
0.053755242,0.053390317
0.05138283,0.0534671
0.049807686,0.05198771
0.049814116,0.05002303
0.05231603,0.05013102
0.05066731,0.051726718
0.046404544,0.050909065
0.043663923,0.047342148
0.041036606,0.04498974
0.040849146,0.042845815
0.04087106,0.0428118
0.03826333,0.042765826
0.03669377,0.04069788
