Date,Open,High,Low,Close,Volume
2022-06-06,414.78,416.60901,410.55231,411.79001,57508858.0
2022-06-07,408.10001,416.22,407.60999,415.73999,59272373.0
2022-06-08,413.92999,415.82001,410.38,411.22,64349966.0
2022-06-09,409.34,411.73999,401.44,401.44,86289796.0
2022-06-10,394.88,395.77771,389.75,389.79999,132893864.0
2022-06-13,379.85001,381.81,373.29999,375.0,170004861.0
2022-06-14,376.85001,377.94,370.59,373.87,104011831.0
2022-06-15,377.35999,383.89999,372.12,379.20001,125666797.0
2022-06-16,370.51001,370.94,364.0799,366.64999,134473288.0
2022-06-17,365.51001,369.38,362.17001,365.85999,111113904.0
2022-06-21,371.89001,376.52499,371.81,375.07001,76811861.0
2022-06-22,370.62,378.72,370.17999,374.39001,90059424.0
2022-06-23,376.64001,378.82999,372.89001,378.06,79292135.0
2022-06-24,381.39999,390.09,381.36499,390.07999,98050333.0
2022-06-27,391.04999,391.35999,387.44,388.59,66009617.0
2022-06-28,390.23001,393.16,380.53,380.64999,86689824.0
2022-06-29,381.23001,382.26999,378.42001,380.34,65675999.0
2022-06-30,376.23999,380.6582,372.56,377.25,112508273.0
2022-07-01,376.56,381.70001,373.79999,381.23999,74839729.0
2022-07-05,375.88,381.98001,372.89999,381.95999,81437965.0
2022-07-06,382.10999,385.87,379.60001,383.25,70426244.0
2022-07-07,385.12,389.82999,383.267,388.98999,64525919.0
2022-07-08,387.26999,390.64001,385.66,388.67001,72397765.0
2022-07-11,385.85001,386.87,383.5,384.23001,58366945.0
2022-07-12,383.64999,386.16,378.98999,380.82999,62219178.0
2022-07-13,375.10001,381.92001,374.65799,378.82999,84224649.0
2022-07-14,373.60999,379.0498,371.04001,377.91,89704819.0
2022-07-15,382.54999,385.25,380.54001,385.13,79060383.0
2022-07-18,388.38,389.09,380.66,381.95001,63203626.0
2022-07-19,386.07999,392.87,385.39001,392.26999,78505972.0
2022-07-20,392.47,396.26001,391.03,394.76999,71843769.0
2022-07-21,394.16,398.84,391.63,398.79001,64903856.0
2022-07-22,398.92001,400.17999,392.75,395.09,72197332.0
2022-07-25,395.75,396.47,393.20999,395.57001,53631485.0
2022-07-26,393.84,394.06,389.95001,390.89001,52946393.0
2022-07-27,394.35999,402.88,394.04999,401.04001,82342106.0
2022-07-28,401.89001,406.79999,398.14999,406.07001,73966563.0
2022-07-29,407.57999,413.03,406.76999,411.98999,87003672.0
2022-08-01,409.14999,413.41,408.39999,410.76999,69997471.0
2022-08-02,409.12,413.0,406.82001,408.06,63435418.0
2022-08-03,410.29999,415.67999,410.0,414.45001,67820555.0
2022-08-04,414.37,415.09,412.44,414.17001,45656574.0
2022-08-05,409.66,414.14999,409.60001,413.47,56814929.0
